Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
09:00:00.000-04:00,09:15:00.000-04:00,73.0,6480.1328125,41.80774688720703,-71.40326690673828,41.829227447509766,-71.37847137451172,2.306666612625122,4.090000152587891,1.190000057220459,,900000,,,
09:15:00.000-04:00,09:30:00.000-04:00,73.0,5916.10595703125,41.772178649902344,-71.3906021118164,41.794437408447266,-71.36243438720703,4.576533317565918,7.980000019073486,0.6000000238418579,,900000,,,
09:30:00.000-04:00,09:45:00.000-04:00,73.0,4491.26123046875,41.785465240478516,-71.38783264160156,41.81691360473633,-71.3698501586914,4.858041286468506,8.479999542236328,0.550000011920929,,900000,,,
09:45:00.000-04:00,10:00:00.000-04:00,73.0,3090.142578125,41.817867279052734,-71.4021987915039,41.83303451538086,-71.38270568847656,3.475914239883423,6.639999866485596,1.0,,900000,,,
10:00:00.000-04:00,10:15:00.000-04:00,43.89094543457031,643.7089233398438,41.832801818847656,-71.40792846679688,41.835426330566406,-71.4036636352539,2.2278084754943848,5.659999847412109,0.5699999928474426,5,421495,478505,,
10:15:00.000-04:00,10:30:00.000-04:00,18.25,,41.8350944519043,-71.40789031982422,41.835323333740234,-71.40774536132812,0.9621428847312927,1.0800000429153442,0.7799999713897705,20,,459353,,
10:30:00.000-04:00,10:45:00.000-04:00,18.249998092651367,,41.83506774902344,-71.40795135498047,41.83527755737305,-71.40792846679688,0.9061957001686096,1.190000057220459,0.5799999833106995,,,,,
10:45:00.000-04:00,11:00:00.000-04:00,18.249998092651367,,41.83490753173828,-71.407958984375,41.835208892822266,-71.4077377319336,1.174459457397461,1.850000023841858,0.6800000071525574,,,602871,,
11:00:00.000-04:00,11:15:00.000-04:00,18.249998092651367,,41.83512496948242,-71.40785217285156,41.83514404296875,-71.40777587890625,0.9800000190734863,0.9800000190734863,0.9800000190734863,23,,900000,,
11:15:00.000-04:00,11:30:00.000-04:00,18.249998092651367,,41.83502197265625,-71.40789794921875,41.8351936340332,-71.40764617919922,0.8073397278785706,1.850000023841858,0.550000011920929,302,,900000,,
11:30:00.000-04:00,11:45:00.000-04:00,14.603263854980469,,41.83509063720703,-71.4078140258789,41.835479736328125,-71.4072494506836,,,,65,,720161,,
11:45:00.000-04:00,12:00:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
12:00:00.000-04:00,12:15:00.000-04:00,18.07204246520996,,,,,,,,,71,,891224,,
12:15:00.000-04:00,12:30:00.000-04:00,4.258028984069824,,41.835147857666016,-71.4078140258789,41.83546447753906,-71.40768432617188,,,,291,,209985,,
12:30:00.000-04:00,12:45:00.000-04:00,18.25,,,,,,,,,20,,900000,,
12:45:00.000-04:00,13:00:00.000-04:00,16.05860137939453,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,65,,791931,,
13:00:00.000-04:00,13:15:00.000-04:00,7.702704429626465,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,450,,,99963,
13:15:00.000-04:00,13:30:00.000-04:00,31.99005126953125,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.40771484375,,,,126,,658003,241997,
13:30:00.000-04:00,13:45:00.000-04:00,18.25,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.4078140258789,,,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,18.25,,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,25,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,15.285335540771484,46.494415283203125,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,423,,568251,48828,
14:15:00.000-04:00,14:30:00.000-04:00,42.006473541259766,522.727294921875,41.836612701416016,-71.4090347290039,41.837493896484375,-71.40808868408203,1.3082407712936401,2.059999942779541,1.190000057220459,898,,,413437,65199
